# Species	Genes	Alg.-Conn.	GCA_001553005.1_ASM155300v1_protein.faa	GCA_001553035.1_ASM155303v1_protein.faa	GCF_000019245.4_ASM1924v3_protein.faa	GCF_000027145.1_ASM2714v1_protein.faa	GCF_000063585.1_ASM6358v1_protein.faa	GCF_000145215.1_ASM14521v1_protein.faa	GCF_000166335.1_ASM16633v1_protein.faa	GCF_000166355.1_ASM16635v1_protein.faa	GCF_000166775.1_ASM16677v1_protein.faa	GCF_000196035.1_ASM19603v1_protein.faa	GCF_000242855.2_ASM24285v2_protein.faa	GCF_000473245.1_ASM47324v1_protein.faa	GCF_000763515.1_ASM76351v1_protein.faa	GCF_000769555.1_ASM76955v1_protein.faa	GCF_000829055.1_ASM82905v1_protein.faa	GCF_001042715.1_ASM104271v1_protein.faa	GCF_001050475.1_ASM105047v1_protein.faa	GCF_001687565.2_ASM168756v2_protein.faa	GCF_001687585.2_ASM168758v2_protein.faa	GCF_001687665.2_ASM168766v2_protein.faa	GCF_001951175.1_ASM195117v1_protein.faa	GCF_001971585.1_ASM197158v1_protein.faa	GCF_002009235.1_ASM200923v1_protein.faa	GCF_002706745.1_ASM270674v1_protein.faa	GCF_003606265.1_ASM360626v1_protein.faa	GCF_003614235.1_ASM361423v1_protein.faa	GCF_003641145.1_ASM364114v1_protein.faa	GCF_003641185.1_ASM364118v1_protein.faa	GCF_003999255.1_ASM399925v1_protein.faa	GCF_004103615.1_ASM410361v1_protein.faa	GCF_004785625.2_ASM478562v2_protein.faa	GCF_006007945.1_ASM600794v1_protein.faa	GCF_007954525.1_ASM795452v1_protein.faa	GCF_007954605.1_ASM795460v1_protein.faa	GCF_007954785.1_ASM795478v1_protein.faa	GCF_009648575.1_ASM964857v1_protein.faa	GCF_009913915.1_ASM991391v1_protein.faa	GCF_012396635.1_ASM1239663v1_protein.faa	GCF_014042035.1_ASM1404203v1_protein.faa	GCF_015234765.1_ASM1523476v1_protein.faa	GCF_016127255.1_ASM1612725v1_protein.faa	GCF_018363075.1_ASM1836307v1_protein.faa	GCF_900120125.1_PRJEB18020_protein.faa	GCF_900187165.1_52121_G02_protein.faa	GCF_900638015.1_54984_A01_protein.faa
33	40	0.282	KXB54987.1	KXB60321.1	WP_013245487.1	WP_012984950.1	WP_003358881.1	*	*	*	*	NP_464088.1	WP_003153413.1,WP_015387545.1	WP_009794817.1	WP_025279768.1	WP_003153413.1,WP_014419156.1	WP_025012770.1	WP_044823251.1,WP_044825585.1	WP_048706225.1	WP_006828546.1	WP_008497671.1	WP_065526778.1	*	WP_076616371.1	WP_058385838.1,WP_071154520.1	WP_010020403.1	WP_066677000.1	WP_003376355.1	WP_171284604.1	WP_175365124.1	*	WP_046129855.1,WP_046131531.1,WP_173427508.1	WP_112224398.1	WP_057814795.1	*	*	*	WP_045554404.1	*	WP_031550855.1	WP_043926775.1,WP_182070271.1	WP_179940624.1	*	*	WP_062171722.1	WP_089864277.1	WP_126320348.1
15	15	0.867	KXB58907.1	KXB63119.1	*	*	*	*	*	*	*	*	WP_003153620.1	WP_035403329.1	*	WP_022553178.1	*	*	*	WP_006831508.1	WP_083383308.1	WP_083394504.1	*	*	WP_071154574.1	*	*	*	*	*	*	WP_231947493.1	WP_135815635.1	*	*	*	*	*	*	WP_031553938.1	WP_182070484.1	WP_179941493.1	*	*	WP_072520229.1	*	*
45	45	1	KXB58911.1	KXB63198.1	WP_003574282.1	WP_012986424.1	WP_003357796.1	WP_013290058.1	WP_013411636.1	WP_013403738.1	WP_013430772.1	NP_466039.1	WP_003151384.1	WP_009792965.1	WP_014093728.1	WP_007407485.1	WP_025012516.1	WP_044823798.1	WP_048706071.1	WP_065536709.1	WP_065528157.1	WP_065525760.1	WP_057866936.1	WP_076615213.1	WP_078080612.1	WP_010020551.1	WP_066678643.1	WP_003375975.1	WP_021731209.1	WP_050339157.1	WP_127352335.1	WP_046130090.1	WP_112223099.1	WP_057813996.1	WP_014973746.1	WP_029509482.1	WP_004899283.1	WP_003772318.1	WP_011679153.1	WP_031552086.1	WP_076788730.1	WP_179941237.1	WP_010279364.1	WP_129302209.1	WP_072520222.1	WP_095178106.1	WP_126320627.1
36	39	0.273	KXB58912.1,KXB58941.1	KXB57622.1	WP_003565381.1	WP_012985995.1	WP_011948024.1	*	*	*	*	NP_465388.1	*	WP_022544096.1	WP_014093203.1	*	WP_025013421.1	*	WP_048703006.1	WP_006831503.1	WP_008497527.1	WP_065526195.1	WP_057868159.1	WP_076617133.1	WP_071154570.1	WP_010019879.1	WP_066676934.1	WP_003376620.1	WP_021730743.1,WP_021731586.1	WP_050338599.1,WP_050339898.1	*	WP_046129603.1	WP_135815638.1	WP_057814849.1	WP_014974440.1	WP_147001459.1	WP_085698956.1	WP_153648745.1	WP_004164228.1	WP_006365070.1	WP_154994733.1	*	WP_010278404.1	WP_129302486.1	WP_062173270.1	WP_095177216.1	WP_126320387.1
45	45	1	KXB58913.1	KXB59103.1	WP_003564251.1	WP_003749469.1	WP_003357358.1	WP_013289640.1	WP_013411233.1	WP_013404146.1	WP_013431194.1	NP_465995.1	WP_007407421.1	WP_009793067.1	WP_025280087.1	WP_007407421.1	WP_025012533.1	WP_044824147.1	WP_048706121.1	WP_006828467.1	WP_065527825.1	WP_008430561.1	WP_057866964.1	WP_076615307.1	WP_058385903.1	WP_010020512.1	WP_066677776.1	WP_003376527.1	WP_021731167.1	WP_003637863.1	WP_127351265.1	WP_046131827.1	WP_112224477.1	WP_057814050.1	WP_014974737.1	WP_019040415.1	WP_004905152.1	WP_003768282.1	WP_011679257.1	WP_016359583.1	WP_154999457.1	WP_218926339.1	WP_010279917.1	WP_129302178.1	WP_062172936.1	WP_095178242.1	WP_036105710.1
45	45	0.924	KXB58921.1	KXB64186.1	WP_003565840.1	WP_012986144.1	WP_003388463.1	WP_013290615.1	WP_013411970.1	WP_013403382.1	WP_013430426.1	NP_465573.1	WP_015388273.1	WP_022543692.1	WP_014093382.1	WP_021493721.1	WP_039639119.1	WP_044825984.1	WP_048703502.1	WP_006828849.1	WP_065528116.1	WP_065525904.1	WP_057867878.1	WP_076615990.1	WP_078080575.1	WP_010019365.1	WP_120140416.1	WP_120362043.1	WP_056988309.1	WP_050338816.1	WP_241243420.1	WP_046130744.1	WP_112222949.1	WP_057815455.1	WP_014974725.1	WP_147000719.1	WP_004905144.1	WP_153648694.1	WP_011680338.1	WP_031553286.1	WP_154997829.1	WP_179939934.1	WP_010279887.1	WP_129301020.1	WP_231723785.1	WP_089864102.1	WP_036104621.1
45	45	0.174	KXB58937.1	KXB57626.1	WP_003564593.1	WP_012985670.1	WP_004440261.1	WP_013289991.1	WP_238524997.1	WP_013403807.1	WP_013430833.1	NP_465024.1	WP_014305487.1	WP_009791702.1	WP_025279947.1	WP_022552895.1	WP_025013916.1	WP_044824566.1	WP_048703481.1	WP_083387761.1	WP_082226478.1	WP_156851269.1	WP_075888285.1	WP_076616019.1	WP_143039551.1	WP_010019378.1	WP_066674433.1	WP_003375228.1	WP_082618905.1	WP_082230245.1	WP_127352384.1	WP_046131485.1	WP_112223775.1	WP_057815439.1	WP_014974854.1	WP_077281928.1	WP_085699795.1	WP_003762348.1	WP_011679313.1	WP_031552675.1	WP_154995762.1	WP_179941328.1	WP_010278544.1	WP_129301012.1	WP_062173276.1	WP_089862907.1	WP_126320451.1
44	44	1	KXB58939.1	KXB57624.1	WP_003564009.1	WP_003747787.1	WP_004440635.1	*	WP_013411951.1	WP_013403400.1	WP_013430445.1	NP_465027.1	WP_003152750.1	WP_022544217.1	WP_003747787.1	WP_003152750.1	WP_025012321.1	WP_044823950.1	WP_048703870.1	WP_065537008.1	WP_040851237.1	WP_008431553.1	WP_057867502.1	WP_076613516.1	WP_058385597.1	WP_010018753.1	WP_066674414.1	WP_003375492.1	WP_021732528.1	WP_003639151.1	WP_127351934.1	WP_065894601.1	WP_112223774.1	WP_057812429.1	WP_014974658.1	WP_010002042.1	WP_004903139.1	WP_003762351.1	WP_014324408.1	WP_031552677.1	WP_154995766.1	WP_179941330.1	WP_010280146.1	WP_025012321.1	WP_062173272.1	WP_095177571.1	WP_003755750.1
45	45	1	KXB58940.1	KXB57623.1	WP_003564007.1	WP_003719797.1	WP_003385813.1	WP_013290638.1	WP_013290638.1	WP_013403403.1	WP_013403403.1	NP_465028.1	WP_003152749.1	WP_009796225.1	WP_003719797.1	WP_003152749.1	WP_003564007.1	WP_044823948.1	WP_048703872.1	WP_006828732.1	WP_006828732.1	WP_038705389.1	WP_010018752.1	WP_076613517.1	WP_058386921.1	WP_010018752.1	WP_066674411.1	WP_039234877.1	WP_003641523.1	WP_003639152.1	WP_011917292.1	WP_046132126.1	WP_071151980.1	WP_057812431.1	WP_014974659.1	WP_010002043.1	WP_004903140.1	WP_003719797.1	WP_004164519.1	WP_006365069.1	WP_003183920.1	WP_179941331.1	WP_004910843.1	WP_003564007.1	WP_021752599.1	WP_089862913.1	WP_003755748.1
37	37	0.946	KXB58942.1	KXB57621.1	WP_003579093.1	WP_012986008.1	*	*	*	*	*	NP_465398.1	WP_012117807.1	WP_009795644.1	WP_014093215.1	WP_012117807.1	WP_025013423.1	*	WP_048703001.1	WP_006831505.1	WP_008497532.1	WP_065526193.1	WP_057868157.1	WP_076617140.1	WP_071154571.1	WP_010019881.1	WP_120140738.1	WP_003375568.1	WP_056988285.1	WP_050338598.1	*	WP_046129609.1	WP_121632044.1	WP_057814845.1	WP_014974441.1	WP_095652529.1	WP_036069277.1	WP_003769360.1	WP_025267946.1	WP_006365071.1	WP_182070486.1	WP_179941332.1	WP_010278402.1	WP_129302484.1	WP_062173267.1	*	WP_036107025.1
35	35	1	KXB58943.1	KXB57620.1	WP_003579091.1	WP_012986009.1	*	*	*	*	*	NP_465399.1	WP_003153622.1	WP_009795643.1	WP_014093216.1	WP_003153622.1	WP_025013424.1	*	WP_048702998.1	WP_006831506.1	WP_008497533.1	WP_065526192.1	WP_147000161.1	WP_076617143.1	WP_078080456.1	WP_056945128.1	WP_066673694.1	*	WP_021731588.1	WP_050338597.1	*	WP_046132802.1	WP_112222578.1	WP_057814843.1	WP_147000338.1	WP_147001026.1	WP_004904767.1	WP_003769361.1	WP_011679304.1	*	WP_154995152.1	WP_179941333.1	WP_010278573.1	WP_129302483.1	WP_062173265.1	*	WP_036107028.1
33	35	0.111	KXB58944.1	KXB57619.1	WP_003563980.1	WP_003748523.1	WP_003362768.1	*	*	*	*	NP_465402.1	WP_007408338.1	WP_009791612.1	WP_014093219.1	WP_007408338.1	WP_025012314.1	WP_044823469.1,WP_044824419.1	WP_048704237.1	WP_006830230.1	WP_008498787.1	WP_065527297.1	WP_057867654.1	WP_076613762.1	WP_058386412.1	WP_010018424.1	*	*	WP_021730244.1	WP_050338992.1	*	WP_046133028.1	WP_112222359.1,WP_112224130.1	WP_057812574.1	*	*	*	WP_153648739.1	*	WP_006365073.1	WP_003183427.1	WP_179941334.1	*	WP_129301940.1	WP_021752603.1	WP_089865699.1	WP_040486773.1
45	45	1	KXB58946.1	KXB57617.1	WP_013245690.1	WP_012985677.1	WP_011947993.1	WP_013291521.1	WP_013413045.1	WP_013404406.1	WP_013431410.1	NP_465034.1	WP_014305491.1	WP_009796217.1	WP_025279948.1	WP_022552892.1	WP_025012979.1	WP_044826092.1	WP_048702777.1	WP_065537009.1	WP_065527910.1	WP_065526572.1	WP_075887781.1	WP_076617577.1	WP_071154362.1	WP_010020095.1	WP_066674303.1	WP_039233839.1	WP_021732097.1	WP_056952334.1	WP_127351005.1	WP_046132153.1	WP_112223772.1	WP_057812006.1	WP_014974487.1	WP_147000565.1	WP_146992835.1	WP_153648107.1	WP_011679492.1	WP_031552688.1	WP_182070998.1	WP_179941336.1	WP_010279313.1	WP_129300870.1	WP_062173539.1	WP_095177198.1	WP_197721042.1
45	45	1	KXB58947.1	KXB57533.1	WP_003575124.1	WP_003748463.1	WP_011949041.1	WP_013290478.1	WP_013412094.1	WP_013403250.1	WP_013430303.1	NP_465368.1	WP_003154395.1	WP_009795987.1	WP_014093185.1	WP_022553372.1	WP_039639018.1	WP_044825128.1	WP_157023202.1	WP_006828820.1	WP_065528109.1	WP_065525924.1	WP_057866919.1	WP_225972248.1	WP_058384884.1	WP_029606517.1	WP_066676067.1	WP_003375132.1	WP_021731509.1	WP_099722347.1	WP_127352936.1	WP_046130709.1	WP_112222922.1	WP_057811865.1	WP_135197294.1	WP_141308887.1	WP_004900976.1	WP_153648749.1	WP_011680068.1	WP_031552833.1	WP_154997771.1	WP_179941464.1	WP_010296181.1	WP_129302066.1	WP_062173937.1	WP_169712353.1	WP_036106970.1
35	35	1	KXB58948.1	KXB59339.1	WP_003564771.1	WP_003723442.1	*	*	*	*	*	NP_464831.1	WP_003153994.1	WP_009790944.1	WP_003723442.1	WP_003153994.1	WP_039639081.1	*	WP_048703366.1	WP_006829797.1	WP_065528070.1	WP_065526017.1	WP_057866760.1	WP_076616170.1	WP_071154512.1	WP_010019466.1	*	*	WP_080235722.1	WP_021336711.1	*	WP_003182236.1	WP_112222741.1	WP_057815059.1	WP_172600968.1	WP_029509844.1	WP_004900720.1	WP_003723442.1	WP_002814697.1	WP_006364200.1	WP_003182236.1	WP_179941465.1	WP_036067662.1	WP_039639081.1	WP_062173939.1	*	WP_003755388.1
31	31	0.833	KXB58949.1	KXB59338.1	WP_003658561.1	WP_003747451.1	*	*	*	*	*	NP_464829.1	WP_003153997.1	WP_009791601.1	WP_014092699.1	WP_003153997.1	WP_010488059.1	WP_082058112.1	WP_048703368.1	WP_006829795.1	WP_008430945.1	WP_008430945.1	WP_057866759.1	WP_076616167.1	WP_058384994.1	WP_010019465.1	*	*	WP_021732289.1	WP_031267439.1	*	WP_046132809.1	WP_112222743.1	WP_057815061.1	*	*	*	WP_003771647.1	*	WP_031552837.1	WP_003182231.1	WP_179941466.1	*	WP_129300960.1	WP_062173941.1	*	WP_036106551.1
45	45	1	KXB58950.1	KXB59337.1	WP_003565804.1	WP_003752244.1	WP_011986799.1	WP_013290906.1	WP_013290906.1	WP_013402856.1	WP_013402856.1	NP_464839.1	WP_003154212.1	WP_009795869.1	WP_014092706.1	WP_003154212.1	WP_025012462.1	WP_044825915.1	WP_048703318.1	WP_006828252.1	WP_008497948.1	WP_065525971.1	WP_057866776.1	WP_076616222.1	WP_058384944.1	WP_010019491.1	WP_066674644.1	WP_003375395.1	WP_021730796.1	WP_003638966.1	WP_011917860.1	WP_046128935.1	WP_112222799.1	WP_057815025.1	WP_014974229.1	WP_010000912.1	WP_004906119.1	WP_003771660.1	WP_002814677.1	WP_006364202.1	WP_182070677.1	WP_179941467.1	WP_004912273.1	WP_129300951.1	WP_062173943.1	WP_089864177.1	WP_003756113.1
45	45	1	KXB58951.1	KXB59336.1	WP_003565806.1	WP_003747472.1	WP_003362575.1	WP_013290907.1	WP_013412444.1	WP_013402855.1	WP_013402855.1	NP_464838.1	WP_003154213.1	WP_009795870.1	WP_003723449.1	WP_003154213.1	WP_010488080.1	WP_044825916.1	WP_048703321.1	WP_006828253.1	WP_008497949.1	WP_008430861.1	WP_057866775.1	WP_076616219.1	WP_058384943.1	WP_010019489.1	WP_066674642.1	WP_003376896.1	WP_021730795.1	WP_003638967.1	WP_127352197.1	WP_046128936.1	WP_135815595.1	WP_010019489.1	WP_014974228.1	WP_029509848.1	WP_004900704.1	WP_003723449.1	WP_011679926.1	WP_031552840.1	WP_020451416.1	WP_179941468.1	WP_004912275.1	WP_010488080.1	WP_062173945.1	WP_095177679.1	WP_040486485.1
45	45	0.333	KXB58952.1	KXB59335.1	WP_003565808.1	WP_003748110.1	WP_003384678.1	WP_013290908.1	WP_013412445.1	WP_013402854.1	WP_013402854.1	NP_465182.1	WP_003154214.1	WP_009795871.1	WP_003748110.1	WP_007611455.1	WP_039639079.1	WP_044825917.1	WP_048703323.1	WP_006828254.1	WP_065528091.1	WP_065525970.1	WP_057866774.1	WP_076616216.1	WP_078080560.1	WP_010019488.1	WP_066674640.1	WP_003375708.1	WP_021730794.1	WP_003638968.1	WP_127352198.1	WP_046128937.1	WP_135815594.1	WP_057815027.1	WP_147000269.1	WP_010000910.1	WP_004906121.1	WP_003762546.1	WP_002814686.1	WP_031552843.1	WP_075752805.1	WP_179941469.1	WP_010278352.1	WP_129300952.1	WP_062173947.1	WP_095177678.1	WP_003756132.1
45	45	1	KXB58953.1	KXB59334.1	WP_003565810.1	WP_003748112.1	WP_003362578.1	WP_013290909.1	WP_013412446.1	WP_013402853.1	WP_013429908.1	NP_465183.1	WP_003154215.1	WP_009795872.1	WP_014093012.1	WP_003154215.1	WP_010488078.1	WP_044825918.1	WP_048703326.1	WP_006828255.1	WP_008430856.1	WP_008430856.1	WP_057866773.1	WP_076616214.1	WP_038704256.1	WP_010019487.1	WP_066674638.1	WP_003376462.1	WP_021730793.1	WP_003638969.1	WP_127352199.1	WP_046128938.1	WP_112222802.1	WP_057815029.1	WP_014974226.1	WP_010000909.1	WP_004900710.1	WP_003772143.1	WP_002814693.1	WP_006364205.1	WP_043926390.1	WP_179941470.1	WP_004912281.1	WP_129300953.1	WP_072520324.1	WP_095177677.1	WP_036104342.1
45	45	1	KXB58956.1	KXB61578.1	WP_003565267.1	WP_003719603.1	WP_003388351.1	WP_013290756.1	WP_013411832.1	WP_013403556.1	WP_013430584.1	NP_464855.1	WP_003154182.1	WP_009795996.1	WP_003719603.1	WP_003154182.1	WP_005685642.1	WP_044825900.1	WP_048702830.1	WP_006828236.1	WP_008430885.1	WP_008430885.1	WP_057867227.1	WP_076617500.1	WP_038704238.1	WP_010020064.1	WP_083089479.1	WP_003375280.1	WP_003639022.1	WP_003639022.1	WP_011917585.1	WP_006638123.1	WP_084245326.1	WP_057811987.1	WP_013103687.1	WP_010000131.1	WP_004902545.1	WP_003719603.1	WP_011680241.1	WP_003146386.1	WP_003181879.1	WP_179941748.1	WP_004902545.1	WP_129300897.1	WP_027130682.1	WP_089864225.1	WP_003756084.1
45	45	1	KXB58957.1	KXB61577.1	WP_003565755.1	WP_012985548.1	WP_011986788.1	WP_013290757.1	WP_013411831.1	WP_013403557.1	WP_013430585.1	NP_464854.1	WP_003154183.1	WP_009795997.1	WP_014092716.1	WP_022553333.1	WP_025012471.1	WP_044825901.1	WP_048706338.1	WP_006828237.1	WP_008497935.1	WP_065525982.1	WP_057866788.1	WP_076616258.1	WP_078080555.1	WP_010019509.1	WP_066676367.1	WP_003376096.1	WP_021730816.1	WP_050338499.1	WP_127351685.1	WP_046128917.1	WP_135815603.1	WP_057815002.1	WP_147000300.1	WP_147001206.1	WP_099044557.1	WP_153648149.1	WP_011680050.1	WP_051618944.1	WP_003181877.1	WP_179941747.1	WP_010295207.1	WP_129302640.1	WP_062173143.1	WP_095177686.1	WP_036104286.1
45	45	1	KXB58958.1	KXB61576.1	WP_003565758.1	WP_012985547.1	WP_011986789.1	WP_013290758.1	WP_013411830.1	WP_013403558.1	WP_013430586.1	NP_464853.1	WP_015388228.1	WP_022543723.1	WP_014092715.1	WP_022553334.1	WP_039639072.1	WP_044825902.1	WP_048703295.1	WP_193781173.1	WP_008497936.1	WP_065525981.1	WP_075887601.1	WP_076616255.1	WP_078080556.1	WP_010019507.1	WP_066676368.1	WP_003377021.1	WP_021730815.1	WP_099722270.1	WP_127351684.1	WP_046128918.1	WP_233539046.1	WP_057815004.1	WP_147000301.1	WP_068852332.1	WP_146992515.1	WP_045554133.1	WP_105296113.1	WP_031550193.1	WP_154997435.1	WP_179941746.1	WP_010295210.1	WP_129302641.1	WP_062173142.1	WP_095177685.1	WP_126320422.1
31	31	0.734	KXB58959.1	KXB61575.1	WP_003566577.1	WP_003747686.1	*	*	*	*	*	NP_464970.1	WP_003153018.1	WP_022544199.1	WP_014092823.1	WP_003153018.1	WP_010491549.1	*	WP_048704517.1	WP_006831037.1	WP_008499020.1	WP_065526521.1	WP_057866494.1	WP_236906183.1	WP_071154379.1	WP_010021125.1	*	*	WP_021730152.1	WP_003637937.1	*	WP_046130006.1	WP_135815754.1	WP_057815359.1	*	*	*	WP_153648123.1	WP_004164151.1	WP_031550190.1	WP_154997085.1	WP_179941745.1	*	WP_213223982.1	WP_062173141.1	*	WP_003755854.1
34	34	1	*	KXB61573.1	WP_013245536.1	WP_003747692.1	*	*	*	*	*	NP_464975.1	WP_003153010.1	WP_009791420.1	WP_003719744.1	WP_022552948.1	WP_025012318.1	*	WP_048703877.1	WP_006831041.1	WP_008499016.1	WP_065526525.1	WP_057867500.1	WP_076613519.1	WP_058385543.1	WP_010018749.1	*	*	WP_021732530.1	WP_021337345.1	*	WP_046130011.1	WP_112223822.1	WP_057812435.1	WP_014974024.1	WP_048701486.1	WP_004901919.1	WP_010991558.1	WP_011680242.1	WP_031550185.1	WP_154997073.1	WP_179941743.1	WP_010275708.1	WP_129301945.1	WP_062173139.1	*	WP_036104073.1
34	37	0.215	KXB58961.1	*	WP_003577893.1	WP_012984736.1	WP_011948015.1	WP_013290271.1	WP_013412275.1	WP_013403038.1,WP_013403452.1	WP_013430091.1	NP_463754.1	WP_004264603.1	WP_022543210.1	WP_014091750.1	WP_007615206.1	WP_025013515.1	WP_044823585.1,WP_044825429.1,WP_082058121.1	WP_048705959.1	WP_065536324.1	WP_065528386.1	WP_065527594.1	WP_075887944.1	WP_076614954.1	WP_071153238.1	WP_010020666.1	WP_120140509.1	*	*	*	WP_011917257.1	WP_046131812.1	WP_112224992.1	WP_057811964.1	*	*	*	WP_010990298.1	*	WP_031551083.1	WP_154999103.1	*	*	WP_129302948.1	WP_062174579.1	*	WP_003756375.1
3	3	1	KXB58962.1	*	*	*	*	*	*	*	*	*	WP_003156410.1	*	*	WP_014416745.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
31	31	0.677	*	KXB62886.1	*	WP_003745323.1	WP_011948016.1	WP_013291284.1	WP_013412783.1	WP_013402472.1	WP_013429450.1	NP_463769.1	*	WP_009791545.1	WP_014091770.1	*	WP_003590051.1	WP_044825876.1	*	WP_065536318.1	WP_008497409.1	WP_065527582.1	*	*	WP_058386752.1	*	WP_120140508.1	WP_003375330.1	WP_021730527.1	WP_050337879.1	WP_127352516.1	WP_046128835.1	WP_112224736.1	*	*	*	*	WP_003760085.1	WP_243148742.1	WP_031551079.1	WP_020449844.1	WP_179940481.1	*	*	WP_083577634.1	WP_089867538.1	WP_040486650.1
39	44	0.22	KXB58965.1	KXB58278.1	WP_003564228.1	WP_012986397.1	WP_011948882.1,WP_011948886.1	*	*	*	*	NP_466001.1	WP_007407423.1	WP_009793062.1	WP_014093692.1	WP_007407423.1,WP_022553771.1	WP_010489391.1	WP_044825374.1	WP_048706103.1	WP_065537121.1	WP_008496057.1	WP_065526845.1	WP_057866955.1	WP_076615278.1	WP_078080235.1	WP_010018001.1,WP_010020527.1	*	WP_003375152.1	WP_021731186.1	WP_003637846.1	*	WP_046131823.1	WP_112224480.1	WP_057814032.1,WP_057815806.1	WP_004909445.1,WP_014974017.1	WP_147001123.1	WP_146992399.1	WP_070023918.1	WP_011679416.1	WP_031551878.1	WP_154999453.1	WP_179940818.1	WP_010281365.1	WP_129302186.1	WP_062173668.1	WP_089863062.1	WP_003758956.1
40	42	0.711	KXB58966.1	KXB58277.1	WP_003578277.1	WP_003753737.1	WP_012048192.1	WP_013290011.1	WP_013411592.1	WP_013403784.1	WP_013430812.1	NP_466005.1	WP_015387644.1	WP_022544384.1	WP_014093697.1	WP_014418979.1	WP_025012527.1	WP_044825054.1	WP_048706101.1	WP_006828450.1	WP_008496045.1	WP_065526425.1,WP_065526858.1	WP_075887901.1	WP_076615274.1	WP_058385919.1	WP_010020528.1	WP_066673698.1	WP_120361943.1	WP_021731191.1	WP_050339148.1	WP_241243469.1	WP_046129484.1	WP_112224492.1,WP_135815464.1	WP_057814030.1	*	*	*	WP_003772355.1	*	WP_031551875.1	WP_154994162.1	WP_179940816.1	*	WP_129302188.1	WP_062173670.1	WP_095177180.1	WP_003758952.1
45	45	1	KXB58967.1	KXB58276.1	WP_003564222.1	WP_012986400.1	WP_033047886.1	WP_041742350.1	WP_013411250.1	WP_013404130.1	WP_013431169.1	NP_466006.1	WP_003151456.1	WP_009793047.1	WP_003749480.1	WP_003151456.1	WP_010489397.1	WP_044824164.1	WP_048706099.1	WP_006828449.1	WP_008496044.1	WP_065526859.1	WP_057866953.1	WP_076615271.1	WP_058385920.1	WP_010020530.1	WP_066677582.1	WP_003375710.1	WP_021731192.1	WP_056952483.1	WP_039767590.1	WP_046129483.1	WP_112224493.1	WP_057814028.1	WP_014974014.1	WP_010003302.1	WP_004901943.1	WP_003763911.1	WP_004164464.1	WP_031551872.1	WP_043926653.1	WP_179940814.1	WP_010281356.1	WP_129302189.1	WP_021752320.1	WP_089862954.1	WP_003758951.1
30	30	0.197	KXB58968.1	KXB58275.1	WP_003564220.1	WP_003749481.1	*	*	*	*	*	NP_466007.1	WP_014418984.1	WP_009793038.1	WP_014093698.1	WP_014418984.1	WP_025012526.1	*	WP_048706097.1	*	*	*	WP_057866952.1	WP_236906169.1	*	WP_010020531.1	*	*	WP_021731193.1	WP_050339149.1	*	WP_046129479.1	*	WP_057814026.1	WP_014974013.1	WP_010003303.1	WP_146992394.1	WP_003763913.1	WP_004164465.1	WP_031551868.1	WP_182069996.1	WP_179940813.1	WP_010281350.1	WP_129319549.1	WP_062173673.1	*	WP_036105670.1
35	35	1	KXB58969.1	KXB58274.1	WP_011674498.1	WP_012985634.1	*	*	*	*	*	NP_464973.1	WP_004393053.1	WP_009792972.1	WP_014092826.1	WP_022554043.1	WP_025012354.1	*	WP_048703037.1	WP_065536197.1	WP_008498773.1	WP_065527310.1	WP_075887697.1	WP_076616911.1	WP_071153517.1	WP_010019853.1	*	*	WP_021731553.1	WP_056952865.1	*	WP_046130353.1	WP_112224117.1	WP_057814886.1	WP_147000305.1	WP_077283095.1	WP_146992510.1	WP_153648122.1	WP_011680058.1	WP_031551866.1	WP_154996057.1	WP_179940811.1	WP_010296141.1	WP_129302037.1	WP_062173675.1	*	WP_036104079.1
6	6	1	KXB58970.1	KXB58273.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_008497242.1	WP_065526750.1	*	*	WP_071154616.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_031551864.1	*	*	*	*	*	*	*
31	40	0.122	*	*	WP_013245714.1	WP_003752951.1	WP_011986464.1	*	*	*	*	NP_465385.1	WP_003153641.1	WP_009793331.1,WP_009795662.1	WP_014093200.1	WP_003153641.1	WP_025013418.1	*	WP_048703211.1	WP_006831474.1,WP_040853000.1	WP_008497499.1,WP_008497524.1	WP_065526198.1,WP_065526220.1	WP_075887656.1	WP_076616683.1	WP_071154567.1,WP_078080446.1	WP_010019737.1	*	*	WP_021730839.1,WP_021731551.1	WP_050338519.1,WP_050338617.1	*	WP_046129595.1	WP_112222567.1,WP_135815655.1	WP_229239934.1	WP_014974073.1	WP_147001168.1	WP_004903281.1	WP_003769341.1	WP_002815174.1	*	WP_154994017.1	*	WP_010291863.1,WP_010294083.1	WP_129302489.1	*	*	WP_003758520.1
